,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,meal,country,market_segment,reserved_room_type,customer_type,adr,total_of_special_requests,date
23,Resort Hotel,60,2015,7,27,1,2,5,2,BB,PRT,Online TA,E,Transient,107.0,2,2015-07-01
24,Resort Hotel,77,2015,7,27,1,2,5,2,BB,PRT,Online TA,A,Transient,94.0,0,2015-07-01
25,Resort Hotel,99,2015,7,27,1,2,5,2,BB,PRT,Online TA,D,Transient,87.3,1,2015-07-01
26,Resort Hotel,95,2015,7,27,1,4,11,2,BB,GBR,Offline TA/TO,D,Transient,63.86,0,2015-07-01
27,Resort Hotel,96,2015,7,27,1,2,8,2,BB,PRT,Direct,E,Transient,108.3,2,2015-07-01
28,Resort Hotel,69,2015,7,27,2,2,4,2,BB,IRL,Offline TA/TO,A,Transient,65.5,0,2015-07-02
29,Resort Hotel,45,2015,7,27,2,1,3,3,BB,PRT,Online TA,D,Transient,108.8,1,2015-07-02
30,Resort Hotel,40,2015,7,27,2,1,3,3,BB,PRT,Online TA,D,Transient,108.8,1,2015-07-02
31,Resort Hotel,15,2015,7,27,2,1,3,2,BB,ESP,Online TA,A,Transient,98.0,0,2015-07-02
32,Resort Hotel,36,2015,7,27,2,1,3,3,BB,PRT,Online TA,D,Transient,108.8,1,2015-07-02
33,Resort Hotel,43,2015,7,27,2,1,3,3,BB,PRT,Online TA,D,Transient,108.8,0,2015-07-02
34,Resort Hotel,70,2015,7,27,2,2,3,2,HB,ROU,Direct,E,Transient,137.0,1,2015-07-02
35,Resort Hotel,45,2015,7,27,2,2,3,2,BB,PRT,Online TA,G,Transient,117.81,0,2015-07-02
36,Resort Hotel,45,2015,7,27,2,2,3,2,BB,IRL,Offline TA/TO,D,Contract,79.5,0,2015-07-02
37,Resort Hotel,16,2015,7,27,2,2,3,2,BB,ESP,Direct,F,Transient,123.0,0,2015-07-02
38,Resort Hotel,70,2015,7,27,2,2,3,2,HB,ROU,Direct,E,Transient,137.0,1,2015-07-02
39,Resort Hotel,107,2015,7,27,2,2,5,2,BB,PRT,Online TA,A,Transient,110.7,2,2015-07-02
40,Resort Hotel,47,2015,7,27,2,2,5,2,BB,PRT,Online TA,G,Transient,153.0,0,2015-07-02
41,Resort Hotel,96,2015,7,27,2,2,5,2,BB,ESP,Offline TA/TO,A,Transient,58.95,1,2015-07-02
42,Resort Hotel,113,2015,7,27,2,2,5,2,BB,NOR,Offline TA/TO,E,Transient-Party,82.88,2,2015-07-02
43,Resort Hotel,90,2015,7,27,2,2,5,2,HB,GBR,Offline TA/TO,A,Contract,82.35,0,2015-07-02
44,Resort Hotel,50,2015,7,27,2,2,5,2,HB,IRL,Online TA,E,Transient,119.35,1,2015-07-02
45,Resort Hotel,113,2015,7,27,2,2,5,2,BB,NOR,Offline TA/TO,D,Transient-Party,67.58,2,2015-07-02
46,Resort Hotel,93,2015,7,27,2,3,8,2,BB,IRL,Offline TA/TO,A,Contract,56.01,0,2015-07-02
47,Resort Hotel,76,2015,7,27,2,4,10,2,BB,OMN,Offline TA/TO,D,Contract,110.7,0,2015-07-02
48,Resort Hotel,3,2015,7,27,2,0,1,2,BB,ESP,Online TA,A,Transient,88.2,0,2015-07-02
49,Resort Hotel,1,2015,7,27,2,0,1,2,BB,ARG,Online TA,H,Transient,147.0,0,2015-07-02
50,Resort Hotel,1,2015,7,27,2,0,1,2,BB,ESP,Direct,C,Transient,107.0,2,2015-07-02
51,Resort Hotel,0,2015,7,27,2,0,1,2,BB,PRT,Direct,H,Transient,147.0,0,2015-07-02
52,Resort Hotel,0,2015,7,27,2,0,1,2,BB,PRT,Online TA,A,Transient,117.9,2,2015-07-02
53,Resort Hotel,0,2015,7,27,2,0,1,2,BB,PRT,Direct,G,Transient,123.0,0,2015-07-02
54,Resort Hotel,14,2015,7,27,2,0,2,2,BB,USA,Online TA,A,Transient,98.0,1,2015-07-02
55,Resort Hotel,10,2015,7,27,2,0,2,2,BB,PRT,Online TA,G,Transient,117.81,0,2015-07-02
56,Resort Hotel,5,2015,7,27,2,0,2,2,BB,IRL,Online TA,E,Transient,135.0,2,2015-07-02
57,Resort Hotel,17,2015,7,27,2,0,3,2,BB,ESP,Direct,F,Transient,133.0,1,2015-07-02
58,Resort Hotel,93,2015,7,27,2,0,3,2,BB,IRL,Offline TA/TO,A,Contract,58.95,0,2015-07-02
59,Resort Hotel,3,2015,7,27,2,0,3,2,HB,PRT,Online TA,A,Transient,136.33,2,2015-07-02
60,Resort Hotel,10,2015,7,27,3,0,2,2,BB,USA,Online TA,G,Transient,153.0,0,2015-07-03
61,Resort Hotel,3,2015,7,27,3,0,2,2,BB,ESP,Online TA,A,Transient,110.5,0,2015-07-03
62,Resort Hotel,51,2015,7,27,3,0,2,2,BB,POL,Online TA,D,Transient,97.0,0,2015-07-03
63,Resort Hotel,71,2015,7,27,3,0,2,3,BB,PRT,Offline TA/TO,A,Transient,110.3,2,2015-07-03
64,Resort Hotel,63,2015,7,27,3,0,2,2,BB,PRT,Online TA,A,Transient,82.0,2,2015-07-03
65,Resort Hotel,62,2015,7,27,3,0,2,2,BB,PRT,Online TA,D,Transient,97.0,1,2015-07-03
66,Resort Hotel,101,2015,7,27,3,0,2,2,BB,PRT,Online TA,A,Transient,73.8,1,2015-07-03
67,Resort Hotel,2,2015,7,27,3,0,2,2,HB,PRT,Offline TA/TO,A,Transient,91.5,0,2015-07-03
68,Resort Hotel,15,2015,7,27,3,0,2,2,BB,ESP,Online TA,A,Transient,114.5,0,2015-07-03
69,Resort Hotel,51,2015,7,27,3,0,2,3,BB,PRT,Online TA,A,Transient,110.3,0,2015-07-03
70,Resort Hotel,3,2015,7,27,3,1,2,2,BB,ESP,Online TA,A,Transient,90.9,0,2015-07-03
71,Resort Hotel,48,2015,7,27,3,1,2,2,BB,PRT,Online TA,E,Transient,123.0,0,2015-07-03
72,Resort Hotel,2,2015,7,27,3,2,2,1,BB,PRT,Online TA,A,Transient,122.0,0,2015-07-03
73,Resort Hotel,72,2015,7,27,3,2,2,2,BB,DEU,Offline TA/TO,A,Transient,110.7,0,2015-07-03
74,Resort Hotel,81,2015,7,27,3,2,6,3,BB,PRT,Offline TA/TO,D,Transient,85.86,0,2015-07-03
75,Resort Hotel,99,2015,7,27,3,2,7,2,BB,FRA,Offline TA/TO,A,Contract,58.95,0,2015-07-03
76,Resort Hotel,368,2015,7,27,3,3,7,2,BB,PRT,Offline TA/TO,A,Contract,55.68,0,2015-07-03
77,Resort Hotel,364,2015,7,27,3,3,7,2,BB,GBR,Offline TA/TO,A,Contract,55.68,0,2015-07-03
78,Resort Hotel,81,2015,7,27,3,3,7,2,HB,PRT,Direct,A,Transient,124.0,1,2015-07-03
79,Resort Hotel,99,2015,7,27,3,3,7,2,HB,GBR,Offline TA/TO,E,Contract,111.15,0,2015-07-03
80,Resort Hotel,324,2015,7,27,3,4,10,2,HB,GBR,Offline TA/TO,E,Contract,134.73,0,2015-07-03
81,Resort Hotel,69,2015,7,27,3,4,10,2,BB,GBR,Online TA,F,Transient,92.45,1,2015-07-03
82,Resort Hotel,79,2015,7,27,3,6,15,2,BB,PRT,Offline TA/TO,A,Transient,108.73,2,2015-07-03
83,Resort Hotel,12,2015,7,27,3,0,1,2,BB,GBR,Online TA,A,Transient,73.8,0,2015-07-03
84,Resort Hotel,9,2015,7,27,3,0,1,2,BB,PRT,Online TA,A,Transient,98.0,2,2015-07-03
85,Resort Hotel,1,2015,7,27,3,0,1,2,BB,ESP,Online TA,A,Transient,131.0,1,2015-07-03
86,Resort Hotel,21,2015,7,27,3,0,1,2,BB,PRT,Online TA,E,Transient,123.0,0,2015-07-03
87,Resort Hotel,9,2015,7,27,3,0,1,2,BB,USA,Online TA,C,Transient,94.71,0,2015-07-03
88,Resort Hotel,109,2015,7,27,3,0,1,2,BB,BEL,Online TA,A,Transient,123.0,2,2015-07-03
89,Resort Hotel,109,2015,7,27,3,0,2,2,BB,PRT,Online TA,A,Transient,123.0,1,2015-07-03
90,Resort Hotel,72,2015,7,27,3,0,2,2,BB,PRT,Online TA,A,Transient,73.8,1,2015-07-03
91,Resort Hotel,63,2015,7,27,3,2,5,2,BB,PRT,Online TA,F,Transient,117.0,1,2015-07-03
92,Resort Hotel,63,2015,7,27,3,2,5,3,HB,ESP,Offline TA/TO,E,Transient,196.54,1,2015-07-03
93,Resort Hotel,101,2015,7,27,3,2,5,2,BB,PRT,Online TA,D,Transient,99.3,2,2015-07-03
94,Resort Hotel,102,2015,7,27,3,2,5,2,BB,DEU,Direct,E,Transient,90.95,0,2015-07-03
95,Resort Hotel,4,2015,7,27,4,2,1,2,BB,ESP,Direct,A,Transient,92.67,1,2015-07-04
96,Resort Hotel,98,2015,7,27,4,2,1,2,BB,FRA,Offline TA/TO,D,Transient,71.55,0,2015-07-04
97,Resort Hotel,92,2015,7,27,4,2,4,1,BB,FRA,Offline TA/TO,F,Transient,96.49,2,2015-07-04
98,Resort Hotel,95,2015,7,27,4,2,4,2,BB,PRT,Online TA,A,Transient,85.8,2,2015-07-04
99,Resort Hotel,102,2015,7,27,4,2,5,2,BB,PRT,Online TA,E,Transient,96.3,1,2015-07-04
100,Resort Hotel,26,2015,7,27,4,2,5,2,BB,PRT,Online TA,H,Transient,163.0,0,2015-07-04
101,Resort Hotel,73,2015,7,27,4,2,5,3,HB,PRT,Direct,D,Transient,172.0,1,2015-07-04
102,Resort Hotel,102,2015,7,27,4,2,5,2,BB,PRT,Online TA,A,Transient,110.7,1,2015-07-04
103,Resort Hotel,115,2015,7,27,4,2,5,2,BB,PRT,Offline TA/TO,A,Transient,58.95,1,2015-07-04
104,Resort Hotel,102,2015,7,27,4,2,5,2,BB,PRT,Online TA,A,Transient,73.8,2,2015-07-04
105,Resort Hotel,86,2015,7,27,4,2,5,2,BB,CHE,Online TA,D,Transient,97.0,2,2015-07-04
106,Resort Hotel,78,2015,7,27,4,2,5,2,HB,PRT,Online TA,E,Transient,139.0,2,2015-07-04
107,Resort Hotel,52,2015,7,27,4,2,5,2,BB,GBR,Online TA,A,Transient,67.24,0,2015-07-04
108,Resort Hotel,29,2015,7,27,4,2,6,3,BB,PRT,Online TA,E,Transient,116.5,1,2015-07-04
109,Resort Hotel,101,2015,7,27,4,2,6,2,BB,PRT,Online TA,E,Transient,96.3,1,2015-07-04
110,Resort Hotel,109,2015,7,27,4,2,6,2,BB,PRT,Online TA,A,Transient,123.0,1,2015-07-04
111,Resort Hotel,92,2015,7,27,4,4,6,2,BB,GBR,Offline TA/TO,D,Contract,71.55,1,2015-07-04
112,Resort Hotel,92,2015,7,27,4,4,6,2,BB,PRT,Offline TA/TO,D,Contract,71.55,1,2015-07-04
113,Resort Hotel,79,2015,7,27,4,4,6,2,HB,PRT,Direct,D,Transient,149.0,1,2015-07-04
114,Resort Hotel,2,2015,7,27,4,0,1,2,BB,PRT,Online TA,H,Transient,163.0,0,2015-07-04
115,Resort Hotel,30,2015,7,27,4,0,1,2,BB,PRT,Offline TA/TO,D,Contract,79.5,0,2015-07-04
116,Resort Hotel,51,2015,7,27,4,0,1,1,HB,PRT,Online TA,A,Transient,105.0,0,2015-07-04
117,Resort Hotel,36,2015,7,27,4,0,1,1,BB,PRT,Direct,E,Transient,123.0,0,2015-07-04
118,Resort Hotel,73,2015,7,27,4,0,1,2,BB,PRT,Online TA,A,Transient,73.8,2,2015-07-04
119,Resort Hotel,33,2015,7,27,4,0,1,2,BB,PRT,Online TA,D,Transient,113.0,0,2015-07-04
120,Resort Hotel,8,2015,7,27,4,0,1,2,BB,ESP,Online TA,E,Transient,123.0,0,2015-07-04
121,Resort Hotel,100,2015,7,27,4,1,1,2,BB,FRA,Online TA,A,Transient-Party,73.8,1,2015-07-04
122,Resort Hotel,1,2015,7,27,4,1,1,2,BB,PRT,Online TA,A,Transient,114.5,0,2015-07-04
123,Resort Hotel,100,2015,7,27,4,1,1,2,BB,FRA,Online TA,A,Transient-Party,73.8,2,2015-07-04
124,Resort Hotel,100,2015,7,27,4,1,1,2,BB,FRA,Online TA,A,Transient-Party,73.8,1,2015-07-04
125,Resort Hotel,9,2015,7,28,5,1,0,2,BB,ESP,Online TA,A,Transient,88.2,1,2015-07-05
126,Resort Hotel,5,2015,7,28,5,1,0,2,BB,PRT,Online TA,D,Transient,97.0,0,2015-07-05
127,Resort Hotel,0,2015,7,28,5,1,0,2,BB,ESP,Online TA,A,Transient,85.1,0,2015-07-05
128,Resort Hotel,9,2015,7,28,5,1,0,1,BB,DEU,Online TA,A,Transient,89.0,0,2015-07-05
129,Resort Hotel,2,2015,7,28,5,1,0,1,BB,PRT,Online TA,A,Transient,80.1,0,2015-07-05
130,Resort Hotel,2,2015,7,28,5,1,0,2,BB,PRT,Online TA,A,Transient,98.0,0,2015-07-05
131,Resort Hotel,9,2015,7,28,5,1,0,1,BB,DEU,Online TA,A,Transient,101.0,0,2015-07-05
132,Resort Hotel,5,2015,7,28,5,1,0,2,BB,PRT,Online TA,D,Transient,97.0,0,2015-07-05
133,Resort Hotel,2,2015,7,28,5,1,0,2,BB,PRT,Direct,G,Transient,167.0,1,2015-07-05
134,Resort Hotel,44,2015,7,28,5,2,0,3,HB,PRT,Online TA,G,Transient,225.0,0,2015-07-05
135,Resort Hotel,80,2015,7,28,5,2,0,2,BB,FRA,Online TA,D,Transient,97.0,0,2015-07-05
136,Resort Hotel,97,2015,7,28,5,2,2,2,BB,ESP,Online TA,D,Transient,87.3,2,2015-07-05
137,Resort Hotel,109,2015,7,28,5,2,3,2,BB,CN,Offline TA/TO,A,Transient,85.59,2,2015-07-05
138,Resort Hotel,30,2015,7,28,5,2,3,2,BB,ESP,Online TA,E,Transient,123.0,0,2015-07-05
139,Resort Hotel,64,2015,7,28,5,2,3,2,BB,PRT,Online TA,E,Transient,107.0,0,2015-07-05
140,Resort Hotel,39,2015,7,28,5,2,4,2,BB,ESP,Online TA,H,Transient,163.0,0,2015-07-05
141,Resort Hotel,90,2015,7,28,5,2,4,2,BB,PRT,Online TA,A,Transient,82.0,0,2015-07-05
142,Resort Hotel,34,2015,7,28,5,2,4,2,BB,PRT,Online TA,H,Transient,163.0,0,2015-07-05
143,Resort Hotel,93,2015,7,28,5,2,5,2,HB,PRT,Offline TA/TO,D,Transient,105.5,0,2015-07-05
144,Resort Hotel,97,2015,7,28,5,2,5,2,HB,PRT,Direct,C,Transient,164.2,1,2015-07-05
145,Resort Hotel,29,2015,7,28,5,2,5,2,BB,IRL,Online TA,F,Transient,97.29,1,2015-07-05
146,Resort Hotel,101,2015,7,28,5,2,5,2,HB,PRT,Online TA,A,Transient,114.0,1,2015-07-05
147,Resort Hotel,27,2015,7,28,5,2,5,2,BB,ESP,Offline TA/TO,E,Transient,98.4,0,2015-07-05
148,Resort Hotel,8,2015,7,28,5,4,5,2,BB,CHE,Online TA,H,Transient,175.0,1,2015-07-05
149,Resort Hotel,82,2015,7,28,5,4,6,2,BB,PRT,Offline TA/TO,D,Transient,63.6,2,2015-07-05
150,Resort Hotel,94,2015,7,28,5,4,6,3,BB,PRT,Direct,D,Transient,124.45,1,2015-07-05
151,Resort Hotel,110,2015,7,28,5,4,7,2,BB,GBR,Offline TA/TO,D,Contract,110.7,0,2015-07-05
152,Resort Hotel,96,2015,7,28,5,4,10,1,HB,GBR,Offline TA/TO,A,Contract,74.07,0,2015-07-05
153,Resort Hotel,79,2015,7,28,5,4,10,2,HB,GBR,Offline TA/TO,D,Contract,134.1,0,2015-07-05
154,Resort Hotel,115,2015,7,28,6,1,4,2,BB,PRT,Online TA,G,Transient,167.0,0,2015-07-06
155,Resort Hotel,111,2015,7,28,6,1,3,2,BB,PRT,Online TA,A,Transient,123.0,2,2015-07-06
156,Resort Hotel,51,2015,7,28,6,1,3,2,BB,USA,Online TA,G,Transient,117.81,2,2015-07-06
157,Resort Hotel,94,2015,7,28,6,1,3,3,BB,CN,Offline TA/TO,D,Transient,171.32,1,2015-07-06
158,Resort Hotel,81,2015,7,28,6,1,3,2,HB,CHE,Direct,G,Transient,210.0,0,2015-07-06
159,Resort Hotel,84,2015,7,28,6,1,3,2,BB,PRT,Online TA,D,Transient,97.0,2,2015-07-06
160,Resort Hotel,51,2015,7,28,6,1,3,3,BB,USA,Online TA,G,Transient,117.81,2,2015-07-06
161,Resort Hotel,2,2015,7,28,6,1,0,2,BB,PRT,Direct,A,Transient,131.0,0,2015-07-06
162,Resort Hotel,7,2015,7,28,6,1,1,2,BB,PRT,Online TA,A,Transient,98.0,2,2015-07-06
163,Resort Hotel,98,2015,7,28,6,1,1,2,BB,USA,Online TA,D,Transient,87.3,1,2015-07-06
164,Resort Hotel,95,2015,7,28,6,1,2,2,BB,GRC,Online TA,D,Transient,97.0,1,2015-07-06
165,Resort Hotel,48,2015,7,28,6,1,3,2,HB,PRT,Online TA,E,Transient,167.0,0,2015-07-06
166,Resort Hotel,66,2015,7,28,6,1,3,2,HB,PRT,Offline TA/TO,A,Transient,91.5,0,2015-07-06
167,Resort Hotel,104,2015,7,28,6,1,3,2,BB,PRT,Online TA,A,Transient,73.8,1,2015-07-06
168,Resort Hotel,28,2015,7,28,6,1,4,2,BB,PRT,Online TA,E,Transient,123.0,0,2015-07-06
169,Resort Hotel,34,2015,7,28,6,1,4,2,HB,PRT,Direct,F,Transient,175.0,0,2015-07-06
170,Resort Hotel,98,2015,7,28,6,1,5,2,HB,ESP,Online TA,A,Transient,117.8,1,2015-07-06
171,Resort Hotel,104,2015,7,28,6,1,5,2,BB,PRT,Online TA,E,Transient,117.63,0,2015-07-06
172,Resort Hotel,68,2015,7,28,6,2,5,2,HB,PRT,Online TA,G,Transient,185.0,0,2015-07-06
173,Resort Hotel,86,2015,7,28,6,2,5,1,HB,PRT,Offline TA/TO,A,Transient,71.0,1,2015-07-06
174,Resort Hotel,111,2015,7,28,6,3,5,2,HB,PRT,Online TA,A,Transient,151.0,1,2015-07-06
175,Resort Hotel,94,2015,7,28,6,3,7,2,BB,PRT,Online TA,D,Transient,87.3,0,2015-07-06
176,Resort Hotel,112,2015,7,28,6,3,7,2,BB,GBR,Offline TA/TO,A,Transient,120.6,1,2015-07-06
177,Resort Hotel,100,2015,7,28,6,3,7,2,BB,GBR,Offline TA/TO,D,Transient,63.86,1,2015-07-06
178,Resort Hotel,33,2015,7,28,6,3,7,2,HB,PRT,Direct,F,Transient,157.1,1,2015-07-06
179,Resort Hotel,97,2015,7,28,6,3,7,2,HB,GBR,Offline TA/TO,D,Contract,91.37,2,2015-07-06
180,Resort Hotel,80,2015,7,28,6,3,8,1,BB,FRA,Direct,A,Transient,73.0,0,2015-07-06
181,Resort Hotel,90,2015,7,28,6,4,10,2,BB,ITA,Offline TA/TO,D,Contract,110.7,0,2015-07-06
182,Resort Hotel,111,2015,7,28,6,4,10,2,BB,GBR,Offline TA/TO,A,Contract,93.6,0,2015-07-06
183,Resort Hotel,65,2015,7,28,6,2,5,2,BB,PRT,Offline TA/TO,D,Transient,83.5,0,2015-07-06
184,Resort Hotel,67,2015,7,28,7,0,2,2,BB,PRT,Online TA,A,Transient,73.8,1,2015-07-07
185,Resort Hotel,55,2015,7,28,7,0,3,2,BB,ESP,Online TA,A,Transient,82.0,2,2015-07-07
186,Resort Hotel,21,2015,7,28,7,0,3,2,HB,PRT,Direct,F,Transient,185.5,1,2015-07-07
187,Resort Hotel,0,2015,7,28,7,0,1,1,BB,GBR,Online TA,A,Transient,109.8,3,2015-07-07
188,Resort Hotel,0,2015,7,28,7,0,1,3,HB,PRT,Direct,C,Transient,195.0,0,2015-07-07
189,Resort Hotel,0,2015,7,28,7,0,1,1,BB,GBR,Online TA,A,Transient,109.8,3,2015-07-07
190,Resort Hotel,8,2015,7,28,7,0,4,3,BB,ESP,Online TA,H,Transient,193.0,1,2015-07-07
191,Resort Hotel,66,2015,7,28,7,0,4,2,BB,PRT,Online TA,D,Transient,97.0,2,2015-07-07
192,Resort Hotel,88,2015,7,28,7,0,4,3,HB,USA,Offline TA/TO,D,Transient,150.0,1,2015-07-07
193,Resort Hotel,0,2015,7,28,7,0,4,2,BB,NLD,Direct,A,Transient,98.0,0,2015-07-07
194,Resort Hotel,43,2015,7,28,7,0,5,2,HB,PRT,Offline TA/TO,A,Transient,91.5,0,2015-07-07
195,Resort Hotel,88,2015,7,28,7,2,5,2,HB,PRT,Online TA,E,Transient,139.0,2,2015-07-07
196,Resort Hotel,54,2015,7,28,7,2,5,2,BB,IRL,Offline TA/TO,D,Transient,79.5,0,2015-07-07
197,Resort Hotel,112,2015,7,28,7,4,10,2,HB,IRL,Offline TA/TO,D,Contract,126.65,1,2015-07-07
198,Resort Hotel,68,2015,7,28,8,0,3,2,BB,GBR,Online TA,E,Transient,107.0,1,2015-07-08
199,Resort Hotel,7,2015,7,28,8,0,4,2,BB,PRT,Online TA,A,Transient,131.0,2,2015-07-08
200,Resort Hotel,1,2015,7,28,8,0,4,2,BB,ESP,Online TA,A,Transient,131.0,1,2015-07-08
201,Resort Hotel,113,2015,7,28,8,0,4,2,BB,PRT,Online TA,A,Transient,123.0,1,2015-07-08
202,Resort Hotel,5,2015,7,28,8,0,4,2,BB,ESP,Online TA,D,Transient,146.0,1,2015-07-08
203,Resort Hotel,83,2015,7,28,8,0,4,2,BB,PRT,Offline TA/TO,A,Transient,110.7,1,2015-07-08
204,Resort Hotel,105,2015,7,28,8,0,4,2,BB,PRT,Online TA,A,Transient,73.8,1,2015-07-08
205,Resort Hotel,0,2015,7,28,8,0,1,1,BB,PRT,Offline TA/TO,A,Transient,61.0,0,2015-07-08
206,Resort Hotel,102,2015,7,28,8,1,4,2,BB,PRT,Direct,A,Transient,66.42,1,2015-07-08
207,Resort Hotel,113,2015,7,28,8,2,4,2,BB,PRT,Direct,E,Transient,77.96,1,2015-07-08
208,Resort Hotel,280,2015,7,28,8,2,5,2,HB,PRT,Offline TA/TO,D,Contract,112.0,1,2015-07-08
209,Resort Hotel,96,2015,7,28,8,2,5,2,BB,GBR,Online TA,E,Transient,107.0,1,2015-07-08
210,Resort Hotel,394,2015,7,28,8,2,5,2,HB,GBR,Offline TA/TO,D,Contract,89.68,0,2015-07-08
211,Resort Hotel,33,2015,7,28,8,2,5,2,HB,PRT,Online TA,E,Transient,155.0,0,2015-07-08
212,Resort Hotel,82,2015,7,28,8,2,6,3,BB,IRL,Direct,A,Transient,112.0,1,2015-07-08
213,Resort Hotel,100,2015,7,28,8,2,7,3,BB,DNK,Online TA,E,Transient-Party,130.1,3,2015-07-08
214,Resort Hotel,100,2015,7,28,8,2,7,2,BB,DNK,Online TA,E,Transient-Party,100.1,2,2015-07-08
215,Resort Hotel,17,2015,7,28,9,0,1,2,BB,PRT,Online TA,C,Transient,123.0,3,2015-07-09
216,Resort Hotel,68,2015,7,28,9,0,2,3,BB,ARG,Direct,A,Transient,124.0,1,2015-07-09
217,Resort Hotel,12,2015,7,28,9,0,2,2,BB,PRT,Direct,H,Transient,146.0,0,2015-07-09
218,Resort Hotel,77,2015,7,28,9,0,3,2,BB,PRT,Direct,D,Transient,97.0,0,2015-07-09
219,Resort Hotel,24,2015,7,28,9,0,3,2,BB,PRT,Online TA,C,Transient,123.0,1,2015-07-09
220,Resort Hotel,44,2015,7,28,9,0,3,2,BB,PRT,Online TA,G,Transient,153.0,0,2015-07-09
221,Resort Hotel,78,2015,7,28,9,0,3,2,BB,PRT,Online TA,A,Transient,82.0,2,2015-07-09
222,Resort Hotel,17,2015,7,28,9,1,3,2,BB,PRT,Online TA,A,Transient,105.08,0,2015-07-09
223,Resort Hotel,103,2015,7,28,9,1,3,2,BB,PRT,Online TA,A,Transient,65.42,0,2015-07-09
224,Resort Hotel,16,2015,7,28,9,1,3,1,BB,RUS,Direct,A,Transient,98.0,1,2015-07-09
225,Resort Hotel,14,2015,7,28,9,2,3,2,BB,SWE,Online TA,A,Transient,75.46,1,2015-07-09
226,Resort Hotel,77,2015,7,28,9,2,3,2,BB,POL,Offline TA/TO,A,Transient,65.5,0,2015-07-09
227,Resort Hotel,90,2015,7,28,9,2,5,2,BB,FRA,Offline TA/TO,A,Transient,90.95,0,2015-07-09
228,Resort Hotel,90,2015,7,28,9,2,5,2,BB,GBR,Offline TA/TO,A,Contract,93.6,0,2015-07-09
229,Resort Hotel,90,2015,7,28,9,2,5,2,BB,GBR,Offline TA/TO,E,Contract,119.25,0,2015-07-09
230,Resort Hotel,366,2015,7,28,9,2,5,2,HB,GBR,Offline TA/TO,E,Contract,134.73,0,2015-07-09
231,Resort Hotel,249,2015,7,28,9,2,5,2,HB,PRT,Online TA,A,Transient,112.0,1,2015-07-09
232,Resort Hotel,69,2015,7,28,9,2,6,2,HB,PRT,Online TA,A,Transient,118.13,2,2015-07-09
